Rank,Domain,Use_Sub_www(Rel),Use_Host_Sub(Rel),Use_Host_Sub(Abs),Relative URI,Absolute URI,URI_Option
1079,biomedcentral.com,True,indifferent,True,True,True,indifferent
1080,mobile.de,unknown,True,True,True,True,indifferent
1086,ipify.org,True,indifferent,True,True,True,indifferent
1093,mdpi.com,unknown,True,True,True,True,indifferent
1095,aparat.com,unknown,True,True,True,True,indifferent
1098,conviva.com,unknown,True,True,True,True,indifferent
1100,google.ru,True,indifferent,True,True,True,indifferent
1102,detik.com,True,indifferent,True,True,True,indifferent
1104,20minutos.es,True,indifferent,True,True,True,indifferent
1105,www.adobe.com,indifferent,indifferent,indifferent,True,True,indifferent
1107,vidazoo.com,indifferent,indifferent,indifferent,True,True,indifferent
1108,typeform.com,True,indifferent,True,True,True,indifferent
1111,forter.com,True,indifferent,True,True,True,indifferent
1122,bmj.com,True,indifferent,True,True,True,indifferent
1126,ilovepdf.com,unknown,True,True,True,True,indifferent
1127,leboncoin.fr,True,indifferent,True,True,True,indifferent
1130,google.cl,True,indifferent,True,True,True,indifferent
1131,udn.com,indifferent,indifferent,indifferent,True,True,indifferent
1137,redditmedia.com,True,indifferent,True,True,True,indifferent
1138,wetter.com,True,indifferent,True,True,True,indifferent
1144,kleinanzeigen.de,unknown,True,True,True,True,indifferent
1148,safebrowsing.google.com,True,indifferent,indifferent,True,True,indifferent
1152,flashscore.com,True,indifferent,True,True,True,indifferent
1153,vox.com,True,indifferent,True,True,True,indifferent
1154,espncricinfo.com,unknown,True,True,True,True,indifferent
1157,trendyol.com,unknown,True,True,True,True,indifferent
1158,nakheelteam.cc,indifferent,indifferent,indifferent,True,True,indifferent
1161,gazzetta.it,True,indifferent,True,True,True,indifferent
1162,login.yahoo.com,True,indifferent,indifferent,True,True,indifferent
1163,fastcompany.com,True,indifferent,True,True,True,indifferent
1164,cricbuzz.com,unknown,True,True,True,True,indifferent
1171,plex.tv,unknown,True,True,True,True,indifferent
1172,mediatek.com,True,indifferent,True,True,True,indifferent
1178,www.dropbox.com,True,indifferent,indifferent,True,True,indifferent
1182,omegle.com,unknown,True,True,True,True,indifferent
1192,vg.no,True,indifferent,True,True,True,indifferent
1195,www.google.co.uk,True,indifferent,indifferent,True,True,indifferent
1199,livedoor.com,True,indifferent,True,True,True,indifferent
1201,pendo.io,True,indifferent,True,True,True,indifferent
1202,apa.org,unknown,True,True,True,True,indifferent
1203,xing.com,True,indifferent,True,True,True,indifferent
1206,tnaflix.com,True,indifferent,True,True,True,indifferent
1208,feedburner.com,indifferent,indifferent,indifferent,True,True,indifferent
1209,acesso.gov.br,indifferent,indifferent,indifferent,True,True,indifferent
1210,www.baidu.com,True,indifferent,indifferent,True,True,indifferent
1215,expressen.se,unknown,True,True,True,True,indifferent
1218,varzesh3.com,True,indifferent,True,True,True,indifferent
1220,indiamart.com,True,indifferent,True,True,True,indifferent
1221,pornpics.com,True,indifferent,True,True,True,indifferent
1223,g1.globo.com,True,indifferent,indifferent,True,True,indifferent
1227,boyfriendtv.com,True,indifferent,True,True,True,indifferent
1230,uci.edu,indifferent,indifferent,indifferent,True,True,indifferent
1231,remove.bg,unknown,True,True,True,True,indifferent
1238,marktplaats.nl,True,indifferent,True,True,True,indifferent
1239,mundodeportivo.com,unknown,True,True,True,True,indifferent
1243,furaffinity.net,unknown,True,True,True,True,indifferent
1244,lightinthebox.com,unknown,True,True,True,True,indifferent
1246,www.pinterest.com,indifferent,indifferent,indifferent,True,True,indifferent
1249,gismeteo.ru,True,indifferent,True,True,True,indifferent
1252,chartboost.com,True,indifferent,True,True,True,indifferent
1253,oreilly.com,unknown,True,True,True,True,indifferent
1257,myntra.com,unknown,True,True,True,True,indifferent
1258,ebay.it,unknown,True,True,True,True,indifferent
1259,merkur.de,True,indifferent,True,True,True,indifferent
1260,kemono.party,indifferent,indifferent,indifferent,True,True,indifferent
1263,ip-api.com,indifferent,indifferent,indifferent,True,True,indifferent
1265,airbnb.com,unknown,True,True,True,True,indifferent
1266,youporn.com,unknown,True,True,True,True,indifferent
1268,hotpepper.jp,True,indifferent,True,True,True,indifferent
1270,coupang.com,unknown,True,True,True,True,indifferent
1271,semana.com,unknown,True,True,True,True,indifferent
1277,smartthings.com,True,indifferent,True,True,True,indifferent
1278,makemytrip.com,unknown,True,True,True,True,indifferent
1282,redtube.com,unknown,True,True,True,True,indifferent
1284,irs.gov,unknown,True,True,True,True,indifferent
1285,cdiscount.com,True,indifferent,indifferent,True,True,indifferent
1288,elcorteingles.es,unknown,True,True,True,True,indifferent
1290,www.whatsapp.com,True,indifferent,indifferent,True,True,indifferent
1295,www.imdb.com,True,indifferent,indifferent,True,True,indifferent
1298,pewresearch.org,True,indifferent,True,True,True,indifferent
1301,finn.no,unknown,True,True,True,True,indifferent
1307,dagbladet.no,unknown,True,True,True,True,indifferent
1308,hepsiburada.com,unknown,True,True,True,True,indifferent
1309,miwifi.com,indifferent,indifferent,True,True,True,indifferent
1311,ilmeteo.it,unknown,True,True,True,True,indifferent
1317,olx.pl,True,indifferent,True,True,True,indifferent
1318,gamer.com.tw,True,indifferent,indifferent,True,True,indifferent
1322,bilibili.tv,unknown,True,True,True,True,indifferent
1324,www.nytimes.com,True,indifferent,indifferent,True,True,indifferent
1326,www.google.de,True,indifferent,indifferent,True,True,indifferent
1327,augloop.office.com,indifferent,indifferent,indifferent,True,True,indifferent
1332,subito.it,unknown,True,True,True,True,indifferent
1334,jalan.net,True,indifferent,True,True,True,indifferent
1336,shalltry.com,True,indifferent,True,True,True,indifferent
1340,www.walmart.com,indifferent,indifferent,indifferent,True,True,indifferent
1344,old.reddit.com,True,indifferent,indifferent,True,True,indifferent
1351,digikala.com,True,indifferent,True,True,True,indifferent
1352,nairaland.com,unknown,True,True,True,True,indifferent
1357,abplive.com,unknown,True,True,True,True,indifferent
1358,vivoglobal.com,unknown,True,True,True,True,indifferent
1359,youjizz.com,unknown,True,True,True,True,indifferent
1362,arin.net,True,indifferent,True,True,True,indifferent
1364,www.ebay.com,indifferent,indifferent,indifferent,True,True,indifferent
1365,www.zillow.com,True,indifferent,indifferent,True,True,indifferent
1366,3bmeteo.com,unknown,True,True,True,True,indifferent
1368,ria.com,True,indifferent,True,True,True,indifferent
1372,dw.com,unknown,True,True,True,True,indifferent
1373,www.espn.com,True,indifferent,indifferent,True,True,indifferent
1374,mynet.com,True,indifferent,True,True,True,indifferent
1375,www.etsy.com,indifferent,indifferent,indifferent,True,True,indifferent
1376,fmkorea.com,True,indifferent,True,True,True,indifferent
1380,rbc.ua,unknown,True,True,True,True,indifferent
1381,haberler.com,True,indifferent,indifferent,True,True,indifferent
1384,gelbooru.com,indifferent,indifferent,indifferent,True,True,indifferent
1385,dantri.com.vn,indifferent,indifferent,False,True,True,indifferent
1386,mbga.jp,True,indifferent,indifferent,True,True,indifferent
